Class;Name;Comments;M or O;D or A;Class;Dims;Size or content;Min;Max;Accessory Class
ONDE_UT_ELEMENTS;ONDE_UT_ELEMENTS:AXIS_OF_CURVATURE;If absent, flat elements are assumed;O;D;H5T_FLOAT;[N_Elem<p>,3];;;;
ONDE_UT_ELEMENTS;ONDE_UT_ELEMENTS:DEAD_ELEMENT;Datafield of logical values (0 = false, 1 = true) used to flag non-functioning elements in an array probe (if not present, assumption should be that all elements are performing correctly),;O;D;H5T_INTEGER;[N_Elem<p>];;;;
ONDE_MONO_UT_PROBE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[3];["ONDE_PROBE", "ONDE_UT_PROBE", "ONDE_MONO_UT_PROBE"];;;
ONDE_LINEAR_UT_PROBE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[3];["ONDE_PROBE", "ONDE_UT_PROBE", "ONDE_LINEAR_UT_PROBE"];;;
ONDE_LINEAR_UT_PROBE;ONDE_LINEAR_UT_PROBE:TOTAL_NUMBER_OF_ELEMENTS;;M;A;H5T_INTEGER;1;;;;
ONDE_LINEAR_UT_PROBE;ONDE_LINEAR_UT_PROBE:ELEMENT_DIM_MAJOR;;M;A;H5T_FLOAT;1;;;;
ONDE_LINEAR_UT_PROBE;ONDE_LINEAR_UT_PROBE:ELEMENT_DIM_MINOR;;M;A;H5T_FLOAT;1;;;;
ONDE_LINEAR_UT_PROBE;ONDE_LINEAR_UT_PROBE:ELEMENT_PITCH_DIM_MAJOR;;M;A;H5T_FLOAT;1;;;;
ONDE_LINEAR_UT_PROBE;ONDE_LINEAR_UT_PROBE:ELEMENT_NUMBERING;Defines the element numbering relating the numbering implicitly defined by the probe description and the order defined in the element tables (ELEMENT_POSITION, ELEMENT_GEOMETRY, etc);O;D;H5T_INTEGER;[N_Elem<p>];;;;
ONDE_MATRIX_UT_PROBE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[3];["ONDE_PROBE", "ONDE_UT_PROBE", "ONDE_MATRIX_UT_PROBE"];;;
ONDE_MATRIX_UT_PROBE;ONDE_MATRIX_UT_PROBE:TOTAL_NUMBER_OF_ELEMENTS;;M;A;H5T_INTEGER;1;;;;
ONDE_MATRIX_UT_PROBE;ONDE_MATRIX_UT_PROBE:NUMBER_OF_ELEMENTS_DIM_MINOR;;M;A;H5T_INTEGER;1;;;;
ONDE_MATRIX_UT_PROBE;ONDE_MATRIX_UT_PROBE:ELEMENT_DIM_MAJOR;;M;A;H5T_FLOAT;1;;;;
ONDE_MATRIX_UT_PROBE;ONDE_MATRIX_UT_PROBE:ELEMENT_DIM_MINOR;;M;A;H5T_FLOAT;1;;;;
ONDE_MATRIX_UT_PROBE;ONDE_MATRIX_UT_PROBE:ELEMENT_PITCH_DIM_MAJOR;;M;A;H5T_FLOAT;1;;;;
ONDE_MATRIX_UT_PROBE;ONDE_MATRIX_UT_PROBE:ELEMENT_PITCH_DIM_MINOR;;M;A;H5T_FLOAT;1;;;;
